;Degree deviation;Degree;Neighbors;Connective redudancy
1336;17.325;86;59;0.314
1337;9.165;60;39;0.35
1080;28.576;146;92;0.37
1125;25.325;114;75;0.342
1053;13.227;71;51;0.282
1073;18.508;106;71;0.33
1097;11.271;58;47;0.19
1189;17.058;99;68;0.313
1143;13.17;83;59;0.289
1075;20.829;127;82;0.354
1093;8.863;56;46;0.179
1138;16.0;95;71;0.253
1199;10.819;67;54;0.194
1146;13.038;85;62;0.271
1039;11.634;71;57;0.197
1164;15.811;90;62;0.311
1142;14.014;90;62;0.311
1047;11.808;72;55;0.236
1228;16.322;80;61;0.238
1144;17.165;77;59;0.234
1107;17.186;84;63;0.25
1109;6.969;41;37;0.098
1103;19.062;81;67;0.173
1210;15.756;82;61;0.256
1042;7.632;42;35;0.167
1063;9.529;60;48;0.2
1032;12.29;63;51;0.19
1208;9.265;53;46;0.132
1071;6.829;37;33;0.108
1180;9.282;51;43;0.157
1090;12.659;58;48;0.172
1200;9.187;55;43;0.218
1121;14.743;71;56;0.211
1104;9.529;50;42;0.16
1198;10.87;64;50;0.219
1092;7.194;46;36;0.217
1187;11.196;64;54;0.156
1215;9.222;48;40;0.167
1086;10.892;68;51;0.25
1335;12.659;68;55;0.191
1175;12.875;71;55;0.225
1193;12.703;61;52;0.148
1359;16.03;79;58;0.266
1067;9.55;40;32;0.2
1334;9.562;53;42;0.208
1360;11.876;68;52;0.235
1105;15.523;89;63;0.292
1212;15.569;65;55;0.154
1358;12.225;67;51;0.239
1341;5.254;30;30;0.0
1041;12.791;60;46;0.233
1213;13.2;57;50;0.123
1135;15.816;64;52;0.188
1177;7.915;42;38;0.095
1155;18.98;93;72;0.226
1051;8.429;47;42;0.106
1179;10.64;60;46;0.233
1206;12.797;64;49;0.234
1056;10.442;53;43;0.189
1131;11.94;69;57;0.174
1113;14.846;70;57;0.186
1181;7.499;43;37;0.14
1126;15.615;82;61;0.256
1127;7.94;48;40;0.167
1171;14.218;76;55;0.276
1049;8.085;46;38;0.174
1229;7.054;41;36;0.122
1166;8.773;39;32;0.179
1133;14.165;72;59;0.181
1227;8.367;50;46;0.08
1214;11.027;65;52;0.2
1191;12.946;70;57;0.186
1089;7.06;43;36;0.163
1136;10.496;54;46;0.148
1082;9.867;54;50;0.074
1117;9.178;52;40;0.231
1114;11.686;54;45;0.167
1040;18.874;98;70;0.286
1154;9.847;34;31;0.088
1148;7.521;34;32;0.059
1088;7.652;44;38;0.136
1061;6.216;28;25;0.107
1156;6.369;31;29;0.065
1065;5.621;30;28;0.067
1085;7.537;35;32;0.086
1152;5.845;34;32;0.059
1149;5.831;30;27;0.1
1162;11.082;60;51;0.15
1158;4.261;26;23;0.115
1033;11.034;61;46;0.246
1201;16.223;65;54;0.169
1066;5.231;19;17;0.105
1168;9.529;50;41;0.18
1106;5.418;31;28;0.097
1084;7.283;37;35;0.054
1115;4.363;23;22;0.043
1026;4.49;16;16;0.0
1207;3.878;13;13;0.0
1188;5.514;15;15;0.0
1130;0.8;3;3;0.0
1029;2.4;6;6;0.0
1035;2.0;5;5;0.0
1044;0.0;0;0;1.0
1046;0.0;0;0;1.0
1057;0.0;0;0;1.0
1100;0.0;0;0;1.0
1102;0.0;0;0;1.0
1108;0.0;0;0;1.0
1122;0.0;0;0;1.0
1128;0.0;0;0;1.0
1173;0.0;0;0;1.0
1178;0.0;0;0;1.0
1204;0.0;0;0;1.0
